name,url,adress,phone,schedule,nb_reviews,global_rating,Food_rating,Service_rating,Value_rating,Atmosphere_rating,Meals_detail,FEATURES_detail,CUISINES_detail,Special Diets_detail,priceMin,priceMax,star,latitude,longitude,id
agora,https://www.tripadvisor.in//Restaurant_Review-g196537-d3863537-Reviews-Agora-Vannes_Morbihan_Brittany.html,"19 Rue de la Boucherie, 56000, Vannes France",+33 2 97 61 50 90, Closed now: ,891,4.5,4.5,4.5,4.5,4.5,"Lunch, Dinner","Highchairs Available, Wheelchair Accessible, Free Wifi, Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Wine and Beer, Accepts Visa, Non-smoking restaurants, Gift Cards Available",,,29.0,68.0,Aucune distinction,47.6598524,-2.7588857,1
comme a la maison,https://www.tripadvisor.in//Restaurant_Review-g196537-d12956316-Reviews-Comme_A_La_Maison-Vannes_Morbihan_Brittany.html,"6 Place du General de Gaulle, 56000, Vannes France",+33 2 97 54 16 64, Closed now: ,127,5.0,5.0,5.0,5.0,4.5,,,"French, Healthy",Vegan Options,12.0,30.0,Aucune distinction,47.6586142,-2.7542781,2
le moi de mets,https://www.tripadvisor.in//Restaurant_Review-g196537-d17539847-Reviews-Le_Moi_de_Mets-Vannes_Morbihan_Brittany.html,"19 Place Maurice Marchais, 56000, Vannes France",+33 2 97 47 17 29, Closed now: ,189,5.0,5.0,5.0,4.5,4.5,"Lunch, Dinner",,"French, European, Healthy",,15.0,37.0,Aucune distinction,47.6580487,-2.760928,3
bvan,https://www.tripadvisor.in//Restaurant_Review-g196537-d24888111-Reviews-Bvan-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,,Guide michelin,46.3144754,11.0480288,4
le thika,https://www.tripadvisor.in//Restaurant_Review-g196537-d10230854-Reviews-Le_Thika-Vannes_Morbihan_Brittany.html,"11 bis Rue Thomas de Closmadeuc, 56000, Vannes France",+33 2 97 69 67 54, Open now: ,465,5.0,4.5,5.0,4.5,,,,"French, Fast food, European, Eastern European, Street Food",Vegetarian Friendly,8.0,14.0,Aucune distinction,,,5
la tete en l'air,https://www.tripadvisor.in//Restaurant_Review-g196537-d8046689-Reviews-La_Tete_En_L_air-Vannes_Morbihan_Brittany.html,"43 rue de la Fontaine, 56000, Vannes France",+33 2 97 67 31 13, Closed now: ,765,5.0,5.0,4.5,4.5,5.0,,,"French, European, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options",45.0,105.0,1 star,47.6604454,-2.7545568,6
le sous-sol,https://www.tripadvisor.in//Restaurant_Review-g196537-d14019755-Reviews-Le_sous_sol-Vannes_Morbihan_Brittany.html,"15 Place Maurice Marchais, 56000, Vannes France",+33 2 97 47 69 82, Closed now: ,232,5.0,5.0,5.0,4.5,5.0,"Lunch, Dinner, Drinks",,"French, Healthy",,11.0,40.0,bib,47.6580517,-2.7607749,7
basilic & co vannes,https://www.tripadvisor.in//Restaurant_Review-g196537-d13961876-Reviews-Basilic_Co_Vannes-Vannes_Morbihan_Brittany.html,"27 rue Joseph le Brix, 56000, Vannes France",+33 2 97 47 31 34, Closed now: ,611,5.0,4.5,4.5,4.5,,,,"Pizza, European","Vegetarian Friendly, Vegan Options",9.0,15.0,Aucune distinction,47.6862222,-2.7380421,8
la gourmandiere,https://www.tripadvisor.in//Restaurant_Review-g196537-d1331669-Reviews-La_Gourmandiere-Vannes_Morbihan_Brittany.html,"Rue du Poignant, 56000, Vannes France",+33 2 97 47 16 13, Open now: ,563,4.5,4.5,4.5,4.5,4.0,"Lunch, Dinner",,"French, European",,55.0,75.0,1 star,,,9
la creperie sarra'zen,https://www.tripadvisor.in//Restaurant_Review-g196537-d8440918-Reviews-La_Creperie_Sarra_Zen-Vannes_Morbihan_Brittany.html,"21 rue Noe Place du Poids Public, 56000, Vannes France",+33 2 97 68 11 16, Closed now: ,260,5.0,4.5,4.5,4.5,4.5,,,"French, European","Vegetarian Friendly, Vegan Options",10.0,20.0,Aucune distinction,,,10
la source,https://www.tripadvisor.in//Restaurant_Review-g196537-d1331672-Reviews-La_Source-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,,Aucune distinction,46.3144754,11.0480288,11
afghan cafe,https://www.tripadvisor.in//Restaurant_Review-g196537-d967563-Reviews-Afghan_Cafe-Vannes_Morbihan_Brittany.html,"12 rue de la Fontaine, 56000, Vannes France",+33 2 97 42 77 77, Closed now: ,485,4.5,4.5,4.5,4.5,4.0,,,"Middle Eastern, Afghan","Vegetarian Friendly, Vegan Options",20.0,28.0,Aucune distinction,47.6834649,-2.7358104,12
le temps d'une crepe,https://www.tripadvisor.in//Restaurant_Review-g1158736-d5598289-Reviews-Le_temps_d_une_Crepe-Ploeren_Vannes_Morbihan_Brittany.html,"9 Lieu Dit Belean, 56880 Ploeren, Vannes France",+33 2 97 46 02 71, Closed now: ,538,4.5,4.5,4.5,4.5,4.5,,,"French, European","Vegetarian Friendly, Vegan Options",6.0,25.0,Aucune distinction,47.669549,-2.8230354,13
la table kopins kopines,https://www.tripadvisor.in//Restaurant_Review-g196537-d21231165-Reviews-La_Table_Kopins_Kopines-Vannes_Morbihan_Brittany.html,"13 Place Maurice Marchais, 56000, Vannes France",+33 2 97 47 69 91, Closed now: ,184,4.5,4.5,4.5,4.0,4.0,"Lunch, Dinner",,"Italian, French, Healthy",,8.0,21.0,Aucune distinction,47.6580483,-2.7607037,14
