name,chef,cuisine,distinction
Ryoko - Comptoir à ramen,[''],Spécialité Ramen,['']
Bvañ,[''],Cuisine moderne,['']
La Gourmandière - La Table d'Olivier,['Olivier Samson'],Cuisine moderne,['1 star']
La Tête en l'air,['Clément Raby'],Cuisine créative,['1 star']
Roscanvec,['Thierry Seychelles'],Cuisine moderne,['']
La Gourmandière - Le Bistr'Aurélia,[''],Cuisine moderne,['']
L'Annexe,[''],Cuisine moderne,['']
Le Sous-sol,[''],Cuisine moderne,['bib']
Iodé,[''],Cuisine créative,['']
Empreinte,['Baptiste Fournier'],Cuisine du marché,['']
